title,year,venue,music,lyrics,book,notes
Hoy No Me Puedo Levantar,2004,Spanish musical,Nacho Cano and José María Cano,Cano and Cano,David Serrano,
The Adventures of Huckleberry Finn,1974,Musical film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Sherman and Sherman,Based on Mark Twain's The Adventures of Huckleberry Finn.
The Human Comedy,1984,Broadway,Galt MacDermot,William Dumaresq,Dumaresq,
The Hunchback of Notre Dame,1996,Musical Animated film,Alan Menken,Stephen Schwartz,"Tab Murphy, Irene Mecchi, Bob Tzudiker, Noni White, and Jonathan Roberts",Based on The Hunchback of Notre Dame by Victor Hugo
The Hunting of the Snark,1991,West End,Mike Batt,Batt,Batt,Based on Lewis Carroll's poem The Hunting of the Snark Notable song: The Snooker Song (Used as theme music for the TV show Big Break).
I and Albert,1972,West End,Charles Strouse,Lee Adams,Jay Presson Allen,
I Can Get It for You Wholesale,1962,Broadway,Harold Rome,Rome,Jerome Weidman,
I Can't Sing! The X Factor Musical,2014,West End,Steve Brown,"Brown, Harry Hill",Hill,
I Could Go on Singing,1963,Musical film,Harold Arlen,Arlen,Robert Dozier,
I Do! I Do!,1966,Broadway,Harvey Schmidt,Tom Jones,Jones,
I Don <3 u ne Mor,2010,Off-Broadway,Frank Grullon and Cathy Thomas,Daren Taylor,Taylor,
I Love My Wife,1977,Broadway,Cy Coleman,Michael Stewart,Stewart,
I Love You Because,2006,Off-Broadway,Joshua Salzman,Ryan Cunningham,Cunningham,
"I Love You, You're Perfect, Now Change",1996,Off-Broadway,Jimmy Roberts,Joe DiPietro,DiPietro,
I Married an Angel,1938,Broadway,Richard Rodgers,Lorenz Hart,Rodgers and Hart,
Idol: The Musical,2007,Off-Broadway,Jon Balcourt,Balcourt,Todd Ellis,Based on the popular TV show American Idol.
If/Then,2014,Broadway,Tom Kitt,Brian Yorkey,Yorkey,
Illya Darling,1967,Broadway,Manos Hadjidakis,Joe Darion,Jules Dassin,
Imagine Tap!,2006,Off-Broadway revue,Zane Mark,Crystal Joy,N/A,
Imagine This,2008,West End,Shuki Levy,David Goldsmith,Glenn Berenbeim,
The Immigrant,2004,Off-Broadway,Steven M. Alper,Sarah Knapp,Mark Harelik,"Based on Harelik's play, The Immigrant."
In Dahomey,1903,Broadway,Will Marion Cook,Paul Laurence Dunbar,Jesse A. Shipp,
In the Heights,2008,Broadway,Lin-Manuel Miranda,Miranda,Quiara Alegría Hudes,
In Transit,2010,Off-Broadway,James-Allen Ford and Russ Kaplan,Kristen Anderson-Lopez and Sara Wordsworth,"Anderson-Lopez, Ford, Kaplan, Wordsworth",This is an a cappella musical
In Trousers,1979,Off-Broadway,William Finn,Finn,Finn,
Infertility: The Musical That's Hard to Conceive,2007,Off-Broadway,Chris Neuner,Neuner,Neuner,
Into the Woods,1987,Broadway,Stephen Sondheim,Sondheim,James Lapine,"Notable songs: ""No One is Alone"" and ""Children Will Listen""."
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,Animated musical film,Various artists,Various artists,"Thomas Bangalter, Guy-Manuel de Homem-Christo, Cédric Hervet and Leiji Matsumoto",
Irene,1919,Broadway,Harry Tierney,Joseph McCarthy,James Montgomery and Joseph Stein,
Irma La Douce,1956,French musical,Marguerite Monnot,Alexandre Breffort,Breffort,
Is there life after high school?,1982,Broadway,Craig Carnelia,Carnelia,Jeffrey Kindley,
It Ain't Nothin' But the Blues,1999,Off-Broadway revue,Various artists,Various artists,"Charles Bevel, Lita Gaithers, Randal Myler, Ron Taylor and Dan Wheetman",
Jackpot,1944,Broadway,Vernon Duke,Howard Dietz,"Guy Bolton, Sidney Sheldon and Ben Roberts",
Jacques Brel is Alive and Well and Living in Paris,1968,Off-Broadway revue,Jacques Brel,"Brel, Eric Blau and Mort Shuman",Blau and Shuman,
Jamaica,1957,Broadway,Harold Arlen,E. Y. Harburg,Harburg and Fred Saidy,
James Joyce's The Dead,1999,Broadway,Shaun Davey,Richard Nelson,Nelson,
Jane Eyre,2000,Broadway,Paul Gordon,Gordon,John Caird,Based on Jane Eyre by Charlotte Brontë.
Jekyll and Hyde,1997,Broadway,Frank Wildhorn,"Leslie Bricusse, Wildhorn and Steve Cuden",Bricusse,
Jelly's Last Jam,1992,Broadway,Jelly Roll Morton and Luther Henderson,Susan Birkenhead,George C. Wolfe,
Jerico-Jim Crow,1964,Off-Broadway,Various artists,Various artists,William Hairston and Langston Hughes,
Jerome Robbins' Broadway,1989,Broadway revue,Various artists,Various artists,N/A,
Jerry Springer: The Opera,2003,West End,Richard Thomas,Thomas and Stewart Lee,Thomas and Lee,Based on the television show The Jerry Springer Show.
Jerry's Girls,1985,Broadway revue,Jerry Herman,Herman,N/A,
Jersey Boys,2005,Broadway Jukebox musical,Bob Gaudio,Bob Crewe,Marshall Brickman and Rick Elice,
Jesus Christ Superstar,1971,Broadway,Andrew Lloyd Webber,Tim Rice,Rice,"Notable songs: ""I Don't Know How to Love Him"", ""Everything's Alright"" and ""Gethsemane""."
Jo,1964,Off-Broadway,,,,
john & jen,1995,Off-Broadway,Andrew Lippa,Tom Greenwald,Lippa and Greenwald,
John Henry,1940,Broadway,Jacques Wolfe,Roark Bradford,Bradford,
Johnny Johnson,1936,Broadway,Kurt Weill,Paul Green,Green,"Based on Jaroslav Hašek's novel, The Good Soldier Švejk."
Johnny Pye and the Fool-Killer,1993,Off-Broadway,Randy Courts,Mark St. Germain,Courts and Germain,
Jolly Jerome,1928,Off-Broadway,Roy French,French,,
Jonah,1992,Concert musical,Judd Woldin,Woldin,Woldin,
Joseph and the Amazing Technicolor Dreamcoat,1968,West End,Andrew Lloyd Webber,Tim Rice,Rice,"Notable songs: ""Any Dream Will Do"" and ""Close Every Door""."
Joseph McCarthy is Alive and Living in Dade County,1977,Off-Broadway,Ray Scantlin,Scantlin,Scantlin,
Juan Darién,1996,Broadway,Elliot Goldenthal,Goldenthal,Goldenthal and Julie Taymor,
Jubilee,1935,Broadway,Cole Porter,Porter,Moss Hart,
Jumbo,1935,Broadway musical,Richard Rodgers,Lorenz Hart,Ben Hecht and Charles MacArthur,
Jump for Joy,1941,Off-Broadway revue,Duke Ellington and Hal Borne,Paul Francis Webster and Sid Kuller,N/A,Aimed at Broadway but closed out of town in Los Angeles.
The Jungle Book,1967,Musical Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Larry Clemmons,
Juno,1959,Broadway,Marc Blitzstein,Blitzstein,Joseph Stein,
Kean,1961,Broadway,Robert Wright and George Forrest,Wright and Forrest,Peter Stone,
Keating!,2007,Australian musical,Casey Bennetto,Bennetto,Bennetto,Portrays the political career of former Australian Prime Minister Paul Keating.
Kelly,1965,Broadway,Mark Charlap,Eddie Lawrence,Lawrence,Never officially opened Broadway.
The King and I,1951,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II,"Notable songs: ""Shall We Dance"", ""I Whistle a Happy Tune"" and ""Getting to Know You""."
King David,1997,Broadway,Alan Menken,Tim Rice,Rice,
Kinky Boots,2013,Broadway,Cyndi Lauper,Lauper,Harvey Fierstein,Based on the 2005 film version.
Kismet,1953,Broadway,"Alexander Borodin, Robert Wright and George Forrest",Wright and Forrest,Charles Lederer and Luther Davis,"Notable song: ""Stranger in Paradise""."
Kiss of the Spider Woman,1993,Broadway,John Kander,Fred Ebb,Terrence McNally,
"Kiss Me, Kate",1948,Broadway,Cole Porter,Porter,Samuel and Bella Spewack,"Notable song: ""Too Darn Hot""."
Kissing Time,1919,Broadway,Ivan Caryll,Guy Bolton and P. G. Wodehouse,Bolton and Wodehouse,
Knickerbocker Holiday,1938,Broadway,Kurt Weill,Maxwell Anderson,Anderson,"Notable songs: ""September Song"" and ""It Never Was You""."
Kristina från Duvemåla,1995,Swedish musical,Benny Andersson,Björn Ulvaeus,Ulvaeus,
A Kurt Weill Cabaret,1963,Off-Broadway,Kurt Weill,Various artists,N/A,
Kronborg: 1582,1974,Canadian musical,Cliff Jones,Jones,Jones,Based on William Shakespeare's Hamlet.
Kwamina,1961,Broadway,Richard Adler,Adler,Robert Alan Aurthur,
Labyrinth,1986,Musical film,David Bowie,Bowie,Terry Jones,
La Cage aux Folles,1983,Broadway,Jerry Herman,Herman,Harvey Fierstein,
Ladies First,1918,Broadway revue,A. Baldwin Sloane,Harry B. Smith,Smith,Featuring songs by James Brockmann and James Kendl.
Lady and the Tramp,1955,Musical Animated film,Sonny Burke and Peggy Lee,Burke and Lee,"Erdman Penner, Joe Rinaldi, Ralph Wright, and Don DaGradi","Notable songs: ""The Siamese Cat Song"", ""He's a Tramp"" and ""Bella Notte""."
"Lady, Be Good",1924,Broadway,George Gershwin,Ira Gershwin,Guy Bolton and Fred Thompson,
The Lady Comes Across,1942,Broadway,Vernon Duke,John La Touche,Fred Thompson and Dawn Powell,
Lady in the Dark,1941,Broadway,Kurt Weill,Ira Gershwin,Moss Hart,"Notable songs: ""Tschaikowsky (and Other Russians)"", ""My Ship"" and ""The Saga of Jenny""."
La La Land,2016,Musical film,Justin Hurwitz,Pasek and Paul,Damien Chazelle,
La Révolution Française,1973,French musical,Claude-Michel Schönberg and Raymond Jeannot,Alain Boublil and Jean-Max Rivière,Boublil and Rivière,
The Last Empress,1995,Korean musical,Hee-Gap Kim,In-Ja Yang and Georgina St George,Mun-Yol Yi,
The Last Five Years,2003,Off-Broadway,Jason Robert Brown,Brown,Brown,"Notable songs: ""Still Hurting"" and ""I Can Do Better Than That""."
The Last Session,1997,Off-Broadway,Steve Schalchlin,"Schalchlin, John Bettis, and Marie Cain",Jim Brochu,
Laughing Room Only,2003,Broadway,Doug Katsaros,Katsaros,Dennis Blair and Digby Wolfe,
Leader of the Pack,1985,Broadway revue,Ellie Greenwich,Various artists,Anne Beatts,
Leben ohne Chris,2009,German musical,Wolfgang Böhmer,Peter Lund,Lund,
Legally Blonde,2007,Broadway,Nell Benjamin and Laurence O'Keefe,Benjamin and O'Keefe,Heather Hach,"Notable songs: ""Omigod You Guys"", ""Ireland"" and ""So Much Better""."
Legs Diamond,1989,Broadway,Peter Allen,Allen,Harvey Fierstein and Charles Suppon,
Lend Me a Tenor,2011,West End,Brad Carroll,Peter Sham,Sham,
Lennon,2005,Broadway,John Lennon,Lennon,Don Scardino,
Leonard Sillman's New Faces of 1952,1952,Broadway revue,Various artists,Various artists,N/A,"Notable song: ""Boston Beguine""."
Les Misérables,1985,West End,Claude-Michel Schönberg,Alain Boublil and Herbert Kretzmer,"Schönberg, Boublil, Trevor Nunn, and John Caird","Notable songs: ""I Dreamed a Dream"", ""On My Own"" and ""Do You Hear the People Sing?""."
Lestat,2006,Broadway,Elton John,Bernie Taupin,Linda Woolverton,Based on the vampire novels of Anne Rice.
Let It Ride,1961,Broadway,Jay Livingston and Ray Evans,Livingston and Evans,Abram S. Ginnes,
Let My People Come,1974,Broadway,"Earl Wilson, Jr.","Wilson, Jr.","Wilson, Jr.",
Letters from Lehrer,2006,Canadian musical,Tom Lehrer,Lehrer,Richard Greenblatt,
Die letzte Kommune,2013,German musical,Thomas Zaufke,Peter Lund,Lund,
The Lieutenant,1975,Broadway,"Gene Curty, Nitra Scharfman, and Chuck Strand","Curty, Scharfman, and Strand","Curty, Scharfman, and Strand",
The Life,1997,Broadway,Cy Coleman,Ira Gasman,"David Newman, Gasman, and Coleman",
The Life and Adventures of Nicholas Nickleby,1980,West End,Stephen Oliver,Oliver,David Edgar,
Life Begins at 8:40,1934,Broadway revue,Harold Arlen,Ira Gershwin and E.Y. Harburg,N/A,
The Light in the Piazza,2005,Broadway,Adam Guettel,Guettel,Craig Lucas,
The Light Princess,2013,Royal National Theatre,Tori Amos,Amos,Samuel Adamson,
Liberty: The Siege of The Alamo,2003,Off-Off-Broadway,Bernard J. Taylor,Taylor,Taylor,
The Likes of Us,1965,Off-West End,Andrew Lloyd Webber,Tim Rice,Leslie Thomas,
Li'l Abner,1956,Broadway,Gene De Paul,Johnny Mercer,Norman Panama and Melvin Frank,
The Lion King,1997,Broadway,Elton John,Tim Rice,Roger Allers and Irene Mecchi,"Based on the film of the same name. Notable songs: ""The Circle of Life"", ""Hakuna Matata"" and ""Can You Feel the Love Tonight""."
Little by Little,1999,Off-Broadway,Brad Ross,Ellen Greenfield and Hal Hackady,Annette Jolles and Greenfield,
Little Fish,2003,Off-Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,
Little Ham,1987,Off-Broadway,Judd Woldin,Richard Engquist and Woldin,Dan Owens,
Little Johnny Jones,1904,Broadway,George M. Cohan,Cohan,Cohan,
Little Mary Sunshine,1959,Off-Broadway,Rick Besoyan,Besoyan,Besoyan,
Little Me,1962,Broadway,Cy Coleman,Carolyn Leigh,Neil Simon,
The Little Mermaid,2008,Broadway,Alan Menken,Glenn Slater and Howard Ashman,Doug Wright,"Based on the film of the same name. Notable songs: ""Part of Your World"", ""Kiss the Girl"" and ""Under the Sea""."
Little Miss Sunshine,2013,Off-Broadway,William Finn,Finn,James Lapine,Based on the film of the same name.
Little Nemo: Adventures in Slumberland,1993,Musical Animated film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Chris Columbus and Richard Outten,
A Little Night Music,1973,Broadway,Stephen Sondheim,Sondheim,Hugh Wheeler,"Notable song: ""Send in the Clowns""."
Little Shop of Horrors,1982,Broadway,Alan Menken,Howard Ashman,Ashman,"Notable songs: ""Suddenly, Seymour"" and ""Somewhere That's Green""."
Little Tramp,1995,Off-Off-Broadway,David Pomeranz,Pomeranz,Pomeranz and Steven David Horwich,
Little Women,2005,Broadway,Jason Howland,Mindi Dickstein,Allan Knee,"Notable song: ""Astonishing""."
Lizzie the Musical,2009,American musical,Steven Cheslik-DeMeyer and Alan Stevens Hewitt,Cheslik-DeMeyer and Tim Maner,Maner,"Focuses on the involvement of Lizzie Borden in the axe murders of her father and stepmother, for which she was tried and acquitted, in 1892."
Lock Up Your Daughters,1959,West End,Laurie Johnson,Lionel Bart,Bernard Miles,
London Calling!,1923,West End revue,Noël Coward,Coward,André Charlot,
London Road,2011,Royal National Theatre,Adam Cork,Alecky Blythe,Blythe,
Lone Star Love,2004,Off-Broadway,Jack Herrick,Herrick,John L. Haber and Robert Horn,
Look to the Lilies,1970,Broadway,Jule Styne,Sammy Cahn,Leonard Spigelgass,
The Lord of the Rings,2007,West End,"A. R. Rahman, Värttinä and Christopher Nightingale",Matthew Warchus and Shaun McKenna,Warchus and McKenna,Based on the books by J. R. R. Tolkien.
Loserville,2012,West End,James Bourne and Elliot Davis,Bourne and David,,Based on the Son of Dork album Welcome to Loserville.
Lost in the Stars,1949,Broadway,Kurt Weill,Maxwell Anderson,Anderson,
Louisiana Purchase,1940,Broadway,Irving Berlin,Berlin,Morrie Ryskind,
Love! at the Cafe!,1993,Off-Broadway,Karen Sokolof Javitch,Javitch and James Spicer Conant,Conant,
Love from Judy,1952,West End,Hugh Martin,Martin and Timothy Gray,Eric Maschwitz and Jean Webster,
"Love, Janis",2001,Off-Broadway revue,Various artists,Various artists,N/A,
Love Life,1948,Broadway,Kurt Weill,Alan Jay Lerner,Lerner,
LoveMusik,2007,Broadway,Kurt Weill,Various artists,Alfred Uhry,
Love Never Dies,2010,West End,Andrew Lloyd Webber,Glenn Slater,Ben Elton,Sequel to the Lloyd Webber musical The Phantom of the Opera.
The Love Note,2009,Curry College Theatre,Gail Phaneuf,,,
Love Story,2010,West End,Howard Goodall,Goodall and Stephen Clark,Clark,
Lucky Stiff,1988,Off-Broadway,Stephen Flaherty,Lynn Ahrens,Ahrens,Based on a novel by Mike Butterworth.
Ludwig II,2000,German musical,Franz Hummel,Stephan Barbarino,Barbarino,
Lust 'n Rust,2001,Off-Off-Broadway,"Frank Haney, Carol Kimball and Dave Stratton","Haney, Kimball and Stratton","Haney, Kimball and Stratton",
Mack & Mabel,1974,Broadway,Jerry Herman,Herman,Michael Stewart,
The Mad Show,1966,Off-Broadway,Mary Rodgers,Various artists,Larry Siegel and Stan Hart,
The Madwoman of Central Park West,1979,Broadway Awesome,Various artists,Various artists,Arthur Laurents and Phyllis Newman,
Made in Dagenham,2014,West End,David Arnold,Richard Thomas,Richard Bean,Based on the film of the same name
Maggie May,1964,West End,Lionel Bart,Bart,Alun Owen,
The Magic Mrs. Piggle Wiggle,2001,Off-Off-Broadway,Chad Henry,Henry,Henry,
The Magic of Lassie,1978,Musical film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,"Sherman, Sherman and Jean Holloway",
The Maid of the Mountains,1917,West End,Harold Fraser-Simson,Harry Graham,Frederick Lonsdale,
Make a Wish,1951,Broadway,Hugh Martin,Martin,Preston Sturges,
Make Me a Song,2007,Off-Broadway revue,William Finn,Finn,N/A,
Making Tracks,1999,Off-Broadway,Woody Pak,Brian Yorkey,Welly Yang,
Mame,1966,Broadway,Jerry Herman,Herman,Jerome Lawrence and Robert E. Lee,"Notable songs: ""Mame"", ""We Need a Little Christmas"" and ""If He Walked Into My Life""."
Mamma Mia!,1999,West End,Björn Ulvaeus and Benny Andersson,"Ulvaeus, Andersson and Stig Anderson",Catherine Johnson,"Complied from songs by ABBA. Notable songs: ""Dancing Queen"", ""Does Your Mother Know"", and ""Mamma Mia""."
Mam'zelle Champagne,1906,Broadway revue,Cassius Freeborn,Edgar Allan Woolf,Woolf,Noted for Harry K. Thaw murdering Stanford White during the opening night performance.
The Man from Snowy River: Arena Spectacular,2002,Australian musical,"Bruce Rowland, Lee Kernaghan and Garth Porter",Kernaghan and Porter,David Atkins and Ignatius Jones,
Man of La Mancha,1965,Broadway,Mitch Leigh,Joe Darion,Dale Wasserman,"Notable song: ""The Impossible Dream""."
The Man With a Load of Mischief,1966,Off-Broadway,John Clifton,Ben Tarver and Clifton,Tarver,
The Many Adventures of Winnie the Pooh,1977,Musical Animated film,"Richard M. Sherman, Robert B. Sherman and Buddy Baker",Sherman and Sherman,Various writers,
March of the Falsettos,1981,Off-Broadway,William Finn,Finn,Finn,It would later be half of Falsettos.
Margie (Film),1946,Musical film,Alfred Newman,Newman,"F. Hugh Herbert, Ruth McKenney and Richard Bransten",
Marguerite,2008,West End,Michel Legrand,Alain Boublil and Herbert Kretzmer,"Claude-Michel Schönberg, Boublil and Jonathan Kent",
Marie Christine,1999,Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,
Marinka,1945,Broadway,Emmerich Kálmán,"George Marion, Jr.","Marion, Jr. and Karl Farkas",
Marry Me a Little,1981,Off-Broadway revue,Stephen Sondheim,Sondheim,N/A,
Martin Guerre,1997,West End,Claude-Michel Schönberg,Alain Boublil and Stephen Clark,Schönberg and Boublil,
Mary Poppins,2004,West End,"Richard M. Sherman, Robert B. Sherman and George Stiles","Sherman, Sherman and Anthony Drewe",Julian Fellowes,"Based on the film of the same name. Notable songs: ""Chim-Chim-Cheree"" and ""Supercalifragilisticexpialidocious""."
Matador,1987,West End,Mike Leander and Edward Seago,Leander and Seago,Peter Jukes,"Notable song: ""A Boy from Nowhere""."
Matilda the Musical,2011,West End,Tim Minchin,Minchin,Dennis Kelly,Based on a children's novel (Matilda) by Roald Dahl. Had its Broadway premiere in 2013.
Me and Juliet,1953,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein,
Me and My Dick,2009,University of Michigan,"A.J Holmes, Carlos Valdes and Darren Criss","Holmes, Valdes and Criss","Matt Lang, Nick Lang, Brian Holden and Eric Kahn Gale",Performed by StarKid Productions.
Me and My Girl,1937,West End,Noel Gay,Douglas Furber and L. Arthur Rose,Furber and Rose,"Notable song: ""The Lambeth Walk""."
Meet Me in St. Louis,1989,Broadway,Hugh Martin and Ralph Blane,Martin and Blane,Hugh Wheeler,"Based on the film of the same name. Notable song: ""Have Yourself a Merry Little Christmas""."
Meet Mister Future,2006,Off-Broadway,Scott Frankel,Michael Korie,Korie,
Meet the Feebles,1989,Musical film,Peter Dasent,Dasent,Various writers,
Mein Freund Bunbury,1964,East German musical,Gerd Natschinski,Jürgen Degenhardt,Helmut Bez and Jürgen Degenhardt,based on Oscar Wilde's The Importance of Being Earnest
The Me Nobody Knows,1970,Broadway,Gary William Friedman,Will Holt,"Robert H. Livingston, Herb Schapiro and Stephen M. Joseph",
Memphis,2009,Broadway,David Bryan,Bryan and Joe DiPietro,DiPietro,
Menopause The Musical,2001,Off-Off-Broadway,Various artists,Jeanie Linders,Linders,
Merlin,1983,Broadway,Elmer Bernstein,Don Black,Richard Levinson and William Link,
Merrily We Roll Along,1981,Broadway,Stephen Sondheim,Sondheim,George Furth,"Notable songs: ""Good Thing Going"" and ""Not a Day Goes By""."
Metropolis,1989,West End,Joseph Brooks,Dusty Hughes and Brooks,Hughes,Based on the 1927 movie.
Mexican Hayride,1944,Broadway,Cole Porter,Porter,Herbert Fields and Dorothy Fields,
The Mighty Kong,1998,Musical film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,William J. Keenan,
Milk and Honey,1961,Broadway,Jerry Herman,Herman,Don Appell,
Million Dollar Quartet,2010,Broadway,Various artists,Various artists,Colin Escott and Floyd Mutrux,
Minimum Wage,2007,Off-Broadway,"Sean Altman, Charlie LaGreca, Jeff LaGreca, Michael Gribbin, and Rob Utesch","Sean Altman, Charlie LaGreca, and Jeff LaGreca",Charlie LaGreca and Jeff LaGreca,"Notable songs:""All These Dreams"", ""Kooky, The Happy Burger Clown"" and ""Minimum Wage Theme"""
Miss 1917,1917,Broadway revue,Various artists,Various artists,Guy Bolton and P. G. Wodehouse,
Miss Liberty,1949,Broadway,Irving Berlin,Berlin,Robert E. Sherwood,
Miss Saigon,1989,West End,Claude-Michel Schönberg,"Alain Boublil and Richard Maltby, Jr.",Schönberg and Boublil,"Notable song: ""Last Night of the World""."
Moby Dick,1992,West End,Robert Longden and Hereward Kaye,Longden and Kaye,Longden,
Monkey Business,2009,Off-Off-Broadway,Ronnie L. McGhee,McGhee,McGhee,
Moon Landing,2007,Off-Off-Broadway,Stephen Edwards,Edwards,Edwards,
More Than You Deserve,1973,Off-Broadway,Jim Steinman,Steinman,Michael Weller,
The Most Happy Fella,1956,Broadway,Frank Loesser,Loesser,Loesser,"Notable song: ""Standin' on the Corner""."
Moulin Rouge!,2001,Musical film,Various artists,Various artists,Baz Luhrmann and Craig Pearce,"Notable songs: ""Come What May"" and ""Elephant Love Medley""."
Movin' Out,2002,Broadway,Billy Joel,Joel,Joel,
Mozart!,1999,Austrian musical,Sylvester Levay,Michael Kunze,Kunze,
"Mozart, l'opéra rock",2009,French musical,"Dove Attia, Jean-Pierre Pilot, Olivier Schultheis, William Rousseau, Nicolas Luciani, Rodrigue Janois and François Castello",Vincent Baguian and Patrice Guirao,Dove Attia and François Chouquet,"Notable songs: ""Tatoue-moi"", ""Vivre à en crever"", ""L'Assasymphonie"", ""Le bien qui fait mal"", ""J'accuse mon père"" and ""C'est bientôt la fin""."
Mr. Cinders,1929,West End,Vivian Ellis and Richard Myers,Clifford Grey and Greatorex Newman,Grey and Newman,
Mr. President,1962,Broadway,Irving Berlin,Berlin,Howard Lindsay and Russel Crouse,
Mrs Henderson Presents,2015,West End,George Fenton & Simon Chamberlin,Don Black,Terry Johnson,Based on the film of the same name
Mrs. Patterson,1954,Broadway,James Shelton (songwriter),Shelton,Charles Sebree and Greer Johnson,
Mrs. Santa Claus,1996,Musical film,Jerry Herman,Herman,Mark Saltzman,Choreography by Rob Marshall
Much Ado,1997,Off-West End,Bernard J. Taylor,Taylor,Taylor,
Mr. Wonderful,1956,Broadway,"Jerry Bock, Larry Holofcener and George David Weiss","Bock, Holofcener and Weiss",Joseph Stein and Will Glickman,
Mulan,1998,Musical film,Jerry Goldsmith and Matthew Wilder,Goldsmith and Wilder,Robert D. San Souci,
Mulan II,2004,Musical film,Joel McNeely,Joel McNeely,"Michael Lucker, Chris Parker, and Roger S. H. Schulman",
The Muppet Movie,1979,Musical film,Paul Williams and Kenny Ascher,Williams and Ascher,Jack Burns and Jerry Juhl,"Notable song: ""The Rainbow Connection"""
The Music Man,1957,Broadway,Meredith Willson,Willson,Willson and Franklin Lacey,"Notable song: ""Seventy-Six Trombones""."
Mutiny!,1985,West End,David Essex,Richard Crane,Crane,
My Fair Lady,1956,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable songs: ""I've Grown Accustomed to Her Face"" and ""I Could Have Danced All Night""."
My Favorite Year,1992,Broadway,Stephen Flaherty,Lynn Ahrens,Joseph Dougherty,
My Life With Albertine,2003,Off-Broadway,Ricky Ian Gordon,Gordon and Richard Nelson,Nelson,
My One and Only,1983,Broadway,George Gershwin,Ira Gershwin,Peter Stone and Timothy S. Mayer,A revised version of the Gershwins' 1927 musical Funny Face.
My Scary Girl,2008,South Korean musical,Will Aronson,Kyoung-Ae Kang,Kang,
My Son Pinocchio,2006,Kansas City,Stephen Schwartz,Stephen Schwartz,David Stern,"A retelling of the classic tale of Pinocchio, told from the perspective of his maker and father Geppetto"
The Mystery of Edwin Drood,1985,Broadway,Rupert Holmes,Holmes,Holmes,"Notable song ""The Writing on the Wall""."
Napoleon,2000,Canadian musical,Timothy Williams,Andrew Sabiston,Williams and Sabiston,
Narnia,1985,Off-Off-Broadway,Thomas Tierney,Ted Drachman,Jules Tasca,
"Natasha, Pierre & The Great Comet of 1812",2012,Off-Broadway,Dave Malloy,Malloy,,"Electropop opera, Based on Leo Tolstoy's War & Peace"
Ned Kelly,1970,Musical film,Shel Silverstein,Silverstein,Ian Jones and Tony Richardson,
"Netru, Indru, Naalai",2006,Indian musical,A. R. Rahman,Rahman,Rahman,
Never Forget,2008,West End,Gary Barlow,Barlow,Guy Jones and Ed Curtis,
Never Gonna Dance,2003,Broadway,Jerome Kern,Various artists,Jeffrey Hatcher,Based on the 1936 RKO film Swing Time.
New Faces of 1952,1952,Broadway revue,Various artists,Various artists,N/A,
New Girl in Town,1957,Broadway,Bob Merrill,Merrill,George Abbott,
Newsical,2004,Off-Broadway,Rick Crom,Crom,Crom,
Newsies,2012,Broadway,Alan Menken,Jack Feldman,Harvey Fierstein,Based on the film of the same name.
Next to Normal,2009,Broadway,Tom Kitt,Brian Yorkey,Yorkey,
Nightingale,1982,Off-West End,Charles Strouse,Strouse,Strouse,
The Nightmare Before Christmas,1993,Musical film,Danny Elfman,Elfman,Caroline Thompson and Michael McDowell,Notable songs: What's This? This is Halloween and Making Christmas.
Nine,1982,Broadway,Maury Yeston,Yeston,Arthur Kopit,
Nord-Ost,2001,Russian musical,Aleksei Ivaschenko and Georgii Vasilyev,Ivaschenko and Vasilyev,Veniamin Kaverin,
"No, No, Nanette",1925,Broadway,Vincent Youmans,Irving Caesar and Otto Harbach,Harbach and Frank Mandel,"Notable songs: ""Tea for Two"" and ""I Want to Be Happy""."
Nosferatu the Vampire,1994,Off-Off-Broadway,Bernard J. Taylor,Taylor,Taylor,
Now. Here. This.,2012,Off-Broadway,Jeff Bowen,Bowen,Hunter Bell and Susan Blackwell,
Now Is the Time for All Good Men,1967,Off-Broadway,Nancy Ford,Gretchen Cryer,Cryer,
Notre-Dame de Paris,1998,French musical,Riccardo Cocciante,Luc Plamondon,Plamondon,"Notable songs: ""Les temps des cathedrales"", ""Belle"" and ""Vivre""."
No Strings,1962,Broadway,Richard Rodgers,Rodgers,Samuel A. Taylor,
Nunsense,1985,Off-Broadway,Dan Goggin,Goggin,Goggin,
Nymph Errant,1933,West End,Cole Porter,Porter,Romney Brent,
O Marry Me!,1961,Off-Broadway,Robert Kessler,Lola Pergament,Pergament,
O Say Can You See!,1962,Off-Broadway,Jack Holmes,Bill Conklin and Bob Miller,Conklin and Miller,
O Pioneers!,2001,Off-Broadway,Mel Atkey,Atkey,Robert Sickinger,
Of Thee I Sing,1931,Broadway,George Gershwin,Ira Gershwin,George S. Kaufman and Morrie Ryskind,"Notable song: ""Love is Sweeping the Country""."
